name	x	y	z	type	material
Fp1	-0.0294	0.0832	-0.0085	scalp	Ag/AgCl
Fp2	0.0294	0.0832	-0.0085	scalp	Ag/AgCl
F3	-0.0502	0.0531	0.0420	scalp	Ag/AgCl
F4	0.0502	0.0531	0.0420	scalp	Ag/AgCl
C3	-0.0651	0.0000	0.0640	scalp	Ag/AgCl
C4	0.0651	0.0000	0.0640	scalp	Ag/AgCl
P3	-0.0502	-0.0531	0.0420	scalp	Ag/AgCl
P4	0.0502	-0.0531	0.0420	scalp	Ag/AgCl
O1	-0.0294	-0.0832	-0.0085	scalp	Ag/AgCl
O2	0.0294	-0.0832	-0.0085	scalp	Ag/AgCl
Fz	0.0000	0.0531	0.0680	scalp	Ag/AgCl
Cz	0.0000	0.0000	0.0870	scalp	Ag/AgCl
Pz	0.0000	-0.0531	0.0680	scalp	Ag/AgCl
T7	-0.0830	0.0000	-0.0085	scalp	Ag/AgCl
T8	0.0830	0.0000	-0.0085	scalp	Ag/AgCl
F7	-0.0700	0.0540	-0.0085	scalp	Ag/AgCl
F8	0.0700	0.0540	-0.0085	scalp	Ag/AgCl
P7	-0.0700	-0.0540	-0.0085	scalp	Ag/AgCl
P8	0.0700	-0.0540	-0.0085	scalp	Ag/AgCl
